accel_chest_x,accel_chest_y,accel_chest_z,ecg_1,ecg_2,accel_ankle_x,accel_ankle_y,accel_ankle_z,gyro_ankle_x,gyro_ankle_y,gyro_ankle_z,magnet_ankle_x,magnet_ankle_y,magnet_ankle_z,accel_arm_x,accel_arm_y,accel_arm_z,gyro_arm_x,gyro_arm_y,gyro_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,actividad
-9.8184,0.009971,0.29563,0.0041863,0.0041863,2.1849,-9.6967,0.63077,0.1039,-0.84053,-0.68762,-0.37,-0.36327,0.29963,-8.6499,-4.5781,0.18776,-0.44902,-1.0103,0.034483,-2.35,-1.6102,-0.030899,0
-9.8489,0.52404,0.37348,0.0041863,0.016745,2.3876,-9.508,0.68389,0.085343,-0.83865,-0.68369,-0.19799,-0.18151,0.58298,-8.6275,-4.3198,0.023595,-0.44902,-1.0103,0.034483,-2.1632,-0.88254,0.32657,0
-9.6602,0.18185,0.43742,0.016745,0.037677,2.4086,-9.5674,0.68113,0.085343,-0.83865,-0.68369,-0.37417,0.18723,0.43851,-8.5055,-4.2772,0.27572,-0.44902,-1.0103,0.034483,-1.6175,-0.16562,-0.030693,0
-9.6507,0.21422,0.24033,0.07954,0.11722,2.1814,-9.4301,0.55031,0.085343,-0.83865,-0.68369,-0.017271,0.18366,0.57571,-8.6279,-4.3163,0.36752,-0.45686,-1.0082,0.025862,-1.0771,0.0069451,-0.38262,0
-9.703,0.30389,0.31156,0.22187,0.20513,2.4173,-9.3889,0.71098,0.085343,-0.83865,-0.68369,-0.37439,-0.54671,0.44586,-8.7008,-4.1459,0.40729,-0.45686,-1.0082,0.025862,-0.53684,0.1759,-1.0955,0
-9.6511,0.23261,0.42094,0.15489,0.13815,2.2639,-9.4493,0.61267,0.09833,-0.8424,-0.68959,-0.72234,0.3742,0.010705,-8.7247,-4.0449,0.50609,-0.45686,-1.0082,0.025862,0.18674,0.72044,-0.36448,0
-9.6269,0.029439,0.56054,0.0041863,0.016745,2.174,-9.6574,0.60137,0.09833,-0.8424,-0.68959,-0.55034,0.55596,0.29405,-9.0864,-4.1474,0.26138,-0.42745,-1.0164,0.019397,0.35907,9.1239e-05,0.36819,0
-9.6422,0.29367,0.38433,-0.016745,-0.0083726,2.2023,-9.4397,0.58129,0.09833,-0.8424,-0.68959,-0.54584,1.1064,0.14415,-9.0143,-4.0052,0.47682,-0.42745,-1.0164,0.019397,0.53691,-0.16868,1.8175,0
-9.8484,-0.0017886,0.43142,-0.15071,-0.046049,2.2037,-9.6283,0.54062,0.076067,-0.83114,-0.69155,-0.90712,0.9265,0.15318,-9.0469,-4.0475,0.24554,-0.42745,-1.0164,0.019397,0.3484,-1.067,2.5447,0
-9.7321,0.24326,0.28505,-0.59027,-0.38514,2.2135,-9.6887,0.43353,0.076067,-0.83114,-0.69155,-0.73095,0.55777,0.29764,-8.8318,-4.109,0.096632,-0.42745,-1.0164,0.019397,-0.19549,-1.5952,3.6222,0
-9.6556,-0.049164,0.31136,0.80795,0.19676,2.2837,-9.47,0.52851,0.076067,-0.83114,-0.69155,-0.7309,0.74125,0.29581,-8.8604,-4.259,0.09955,-0.4549,-1.0144,0.015086,-0.01597,-1.597,3.6258,0
